commit,faults,path,ImplicitDefinitions,ImplicitConversions,ImplicitParameters,OverridingPatternVariables,UsageOfNull,UnitVariables,FunctionVariables,NumberOfReturns
HEAD,0,package zio - object ZManaged - class UnlessM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class UpdateService,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
HEAD,0,package zio - object ZManaged - class WhenM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - trait ReleaseMap,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
HEAD,1,package zio - object ZManaged - object ReleaseMap,0.0,9.0,4.0,0.0,0.0,0.0,4.0,0.0
HEAD,0,package zio - object ZManaged - object ReleaseMap - method make - class State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - object ReleaseMap - method make - class Exited,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - object ReleaseMap - method make - class Running,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - object ZManaged - object ReleaseMap - method make - <$anon: zio.ZManaged.ReleaseMap>,0.0,9.0,4.0,0.0,0.0,0.0,4.0,0.0
HEAD,0,package zio - object ZManaged - method apply - <$anon: zio.ZManaged[R E A]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - trait PreallocationScope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - <$anon: zio.ZManaged.PreallocationScope>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - trait Scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - <$anon: zio.ZManaged.Scope>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class RefineToOrDieOps,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - object UIO,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0
HEAD,1,package zio - object Task,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0
HEAD,1,package zio - object RIO,10.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0
HEAD,1,package zio - trait ZIO,80.0,11.0,28.0,4.0,0.0,6.0,136.0,0.0
HEAD,1,package zio - object ZIO,29.0,10.0,16.0,4.0,0.0,7.0,146.0,0.0
HEAD,0,package zio - object ZIO - method fromFutureInterrupt - <$anon: scala.concurrent.ExecutionContext>,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HEAD,0,package zio - object ZIO - method reduceAllPar - method prepend - <$anon: Iterable[Z]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - method reduceAllParN - method prepend - <$anon: Iterable[Z]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - method replicate - <$anon: Iterable[zio.ZIO[R E A]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class ZIOAutoCloseableOps,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
