commit,faults,path,NumberOfLambdaFunctions,SourceLinesOfLambda,LambdaScore,LambdaFunctionsUsingOuterVariables,LambdaFunctionsUsingInnerVariables,LambdaFunctionsWithSideEffects,LambdaFunctionsWithAssignment
HEAD,1,package sql - trait SqlContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package async - trait Decoders - class AsyncDecoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - method decoder - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => T>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package async - trait Decoders - method mappedDecoder - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => O>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - trait NumericDecoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - method optionDecoder - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Option[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package async - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => BigDecimal>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package async - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Int>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package async - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Long>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package async - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Float>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package async - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Double>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => java.util.UUID>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mirror - trait MirrorDecoders,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mirror - trait MirrorDecoders - method decoder - <$anon: MirrorDecoders.this.Decoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mirror - trait MirrorDecoders - method optionDecoder - <$anon: MirrorDecoders.this.Decoder[Option[T]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - class EncodingDslMacro,3.0,5.0,0.11363636363636363,0.0,0.0,0.0,0.0
HEAD,1,package mysql - trait FinagleMysqlEncoders,5.0,6.0,0.15,0.0,0.0,0.0,0.0
HEAD,1,package mysql - trait FinagleMysqlEncoders - method encoder - <$anon: FinagleMysqlEncoders.this.Encoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mysql - trait FinagleMysqlEncoders - method optionEncoder - <$anon: FinagleMysqlEncoders.this.Encoder[Option[T]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait LowPriorityImplicits,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait EncodingDsl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait EncodingDsl - trait Decoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
