commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package sharding - class ClusterShardingSingleShardPerEntitySpec - method joinAndAllocate,1.0,0.0,11.0,11.0,0.0,0.0,19.0,10.0,0.0,0.0,-0.9375000000000001
HEAD,0,package io - object UdpConnected - method lookup,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnected - method createExtension,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnected - method get,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnected - method get,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnected - trait Command - method failureMessage,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnected - class Send - method wantsAck,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnected - object Send - method apply,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package io - class UdpConnectedExt - method getManager,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnectedMessage - method connect,1.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnectedMessage - method connect,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnectedMessage - method connect,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnectedMessage - method send,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnectedMessage - method send,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnectedMessage - method disconnect,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnectedMessage - method noAck,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnectedMessage - method noAck,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnectedMessage - method suspendReading,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnectedMessage - method resumeReading,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package io - object UdpConnectedMessage - method fromJava,1.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package internal - trait StashManagement - method setup,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - trait StashManagement - method context,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - trait StashManagement - method stashState,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - trait StashManagement - method isInternalStashEmpty,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - trait StashManagement - method stashInternal,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,0,package internal - trait StashManagement - method stashUser,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,0,package internal - trait StashManagement - method stash,6.0,15.0,18.0,17.0,0.0,0.0,12.0,11.0,14.0,3.0,-0.5416666666666667
HEAD,0,package internal - trait StashManagement - method tryUnstashOne,3.0,0.0,10.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.3333333333333333
HEAD,0,package internal - trait StashManagement - method unstashAll,2.0,0.0,8.0,6.0,2.0,0.25,2.0,2.0,0.0,0.0,-1.0
HEAD,0,package internal - trait StashManagement - method isUnstashAllInProgress,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - trait StashManagement - method logStashMessage,3.0,0.0,7.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,-1.0
HEAD,0,package internal - trait StashManagement - method logUnstashMessage,3.0,0.0,7.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,-1.0
HEAD,0,package internal - trait StashManagement - method logUnstashAll,2.0,0.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,-1.0
HEAD,0,package internal - class StashState - method internalStashBuffer,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
HEAD,0,package internal - class StashState - method userStashBuffer,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
HEAD,0,package internal - class StashState - method clearStashBuffers,1.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,-1.0
HEAD,0,package internal - class StashState - method isUnstashAllInProgress,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,0,package internal - class StashState - method decrementUnstashAllProgress,2.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,-1.0
HEAD,0,package internal - class StashState - method startUnstashAll,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,0,package artery - class SharedTestState - method isBlackhole,3.0,3.0,5.0,5.0,0.0,0.0,4.0,4.0,6.0,1.0,1.0
HEAD,0,package artery - class SharedTestState - method blackhole,4.0,4.0,8.0,8.0,0.0,0.0,4.0,1.0,18.0,0.0,-0.48148148148148145
HEAD,0,package artery - class SharedTestState - method failInboundStreamOnce,2.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,-0.8333333333333333
HEAD,0,package artery - class SharedTestState - method getInboundFailureOnce,2.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package artery - class SharedTestState - method addBlackhole,4.0,8.0,9.0,9.0,0.0,0.0,11.0,9.0,6.0,1.0,-0.5833333333333333
HEAD,0,package artery - class SharedTestState - method passThrough,4.0,4.0,8.0,8.0,0.0,0.0,4.0,1.0,18.0,0.0,-0.48148148148148145
HEAD,0,package artery - class SharedTestState - method removeBlackhole,4.0,6.0,9.0,9.0,0.0,0.0,8.0,8.0,6.0,1.0,-0.5833333333333333
HEAD,0,package artery - class OutboundTestStage - method createLogic,2.0,0.0,18.0,16.0,3.0,0.15789473684210525,9.0,8.0,0.0,0.0,-0.2727272727272727
HEAD,0,package artery - class OutboundTestStage - method createLogic - <$anon: akka.stream.stage.TimerGraphStageLogic with akka.stream.stage.InHandler with akka.stream.stage.OutHandler with akka.stream.stage.StageLogging> - method onPush,2.0,0.0,11.0,11.0,1.0,0.08333333333333333,6.0,6.0,0.0,0.0,-1.0
HEAD,0,package artery - class OutboundTestStage - method createLogic - <$anon: akka.stream.stage.TimerGraphStageLogic with akka.stream.stage.InHandler with akka.stream.stage.OutHandler with akka.stream.stage.StageLogging> - method onPull,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,2,package artery - class InboundTestStage - method createLogic,6.0,11.0,31.0,28.0,4.0,0.125,16.0,14.0,21.0,2.0,0.09756097560975611
HEAD,2,package artery - class InboundTestStage - method createLogic - <$anon: akka.stream.stage.TimerGraphStageLogic with akka.stream.stage.InHandler with akka.stream.stage.OutHandler with akka.stream.stage.StageLogging> - method onPush,6.0,11.0,24.0,23.0,2.0,0.08,13.0,12.0,21.0,2.0,-0.45454545454545453
HEAD,0,package artery - class InboundTestStage - method createLogic - <$anon: akka.stream.stage.TimerGraphStageLogic with akka.stream.stage.InHandler with akka.stream.stage.OutHandler with akka.stream.stage.StageLogging> - method onPull,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,0,package actor - class AffinityPoolComparativeBenchmark - method setup,3.0,6.0,47.0,21.0,0.0,0.0,6.0,5.0,2.0,0.0,-0.8461538461538461
HEAD,0,package actor - class AffinityPoolComparativeBenchmark - method shutdown,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,-1.0
HEAD,0,package actor - class AffinityPoolComparativeBenchmark - method pingPong,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,-1.0
HEAD,0,package internal - trait ExtensionsImpl - method loadExtensions,7.0,7.0,33.0,29.0,4.0,0.12121212121212122,27.0,8.0,17.0,3.0,-0.09090909090909087
HEAD,0,package internal - trait ExtensionsImpl - method loadExtensions - method loadExtensions,7.0,7.0,18.0,17.0,1.0,0.05555555555555555,19.0,2.0,17.0,3.0,-0.06250000000000001
HEAD,0,package internal - trait ExtensionsImpl - method loadExtensions - method idFromJavaSingletonAccessor,1.0,0.0,8.0,8.0,0.0,0.0,6.0,5.0,0.0,0.0,1.0
HEAD,0,package internal - trait ExtensionsImpl - method hasExtension,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package internal - trait ExtensionsImpl - method extension,3.0,8.0,4.0,4.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0
HEAD,0,package internal - trait ExtensionsImpl - method registerExtension,3.0,4.0,5.0,5.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0
HEAD,0,package internal - trait ExtensionsImpl - method createExtensionInstance,6.0,18.0,32.0,25.0,7.0,0.21875,11.0,10.0,11.0,2.0,0.8620689655172413
HEAD,0,package internal - trait ExtensionsImpl - method findExtension,4.0,5.0,8.0,7.0,3.0,0.3,3.0,3.0,10.0,3.0,0.6000000000000001
