commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package quotation - object FreeVariables,11.0,3.0,13.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,4.0,4.0,5.0,1.0,1.0
HEAD,0,package capture - class DemarcateExternalAliases,36.0,2.0,38.0,2.0,1.0,30.0,29.0,0.0,0.0,0.0,17.0,14.0,12.0,8.0,44.0,16.0,98.0,36.0,1.0
HEAD,0,package capture - object DemarcateExternalAliases,12.0,2.0,14.0,1.0,0.0,16.0,14.0,1.0,0.06666666666666667,0.0,5.0,0.0,4.0,7.0,7.0,4.0,18.0,7.0,1.0
HEAD,0,package getquill - object AstPrinter,6.0,3.0,9.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - object AstPrinter - object Implicits,4.0,1.0,5.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - object AstPrinter - object Implicits - class FansiStrExt,2.0,2.0,4.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - class AstPrinter,16.0,3.0,19.0,0.0,4.0,43.0,29.0,2.0,0.06451612903225806,0.0,6.0,9.0,3.0,3.0,4.0,2.0,10.0,0.0,1.0
HEAD,0,package getquill - trait PseudoAst,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - trait SQLServerDialect,45.0,2.0,47.0,3.0,8.0,35.0,33.0,2.0,0.05714285714285714,1.0,27.0,19.0,5.0,10.0,28.0,8.0,28.0,5.0,1.0
HEAD,0,package getquill - object SQLServerDialect,2.0,2.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - class FinaglePostgresContextConfig,7.0,0.0,7.0,2.0,13.0,27.0,27.0,0.0,0.0,0.0,16.0,18.0,2.0,2.0,9.0,2.0,1.0,0.0,1.0
HEAD,0,package getquill - trait OperationType,0.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - object OperationType,8.0,4.0,9.0,0.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - object OperationType - object Read,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - object OperationType - object Write,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,7,package getquill - class FinagleMysqlContext,38.0,2.0,38.0,5.0,11.0,144.0,125.0,0.0,0.0,0.0,27.0,28.0,3.0,12.0,14.0,7.0,15.0,5.0,1.0
HEAD,0,package mysql - class SingleValueRow,9.0,0.0,9.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class PostgresAsyncContext,17.0,2.0,17.0,6.0,2.0,26.0,20.0,3.0,0.13043478260869565,0.0,4.0,7.0,4.0,6.0,3.0,3.0,12.0,1.0,1.0
HEAD,0,package getquill - object mirrorContextWithQueryProbing,3.0,0.0,3.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,7,package getquill - class MirrorContext,49.0,5.0,53.0,4.0,12.0,69.0,67.0,0.0,0.0,4.0,30.0,16.0,2.0,12.0,7.0,6.0,8.0,3.0,1.0
HEAD,6,package getquill - class MirrorContext - class ActionMirror,4.0,3.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class MirrorContext - class ActionReturningMirror,6.0,3.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,7,package getquill - class MirrorContext - class BatchActionMirror,3.0,3.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class MirrorContext - class BatchActionReturningMirror,4.0,3.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,7,package getquill - class MirrorContext - class QueryMirror,8.0,3.0,10.0,2.0,1.0,7.0,6.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package spark - trait Binding,0.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - class DatasetBinding,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - class ValueBinding,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package monix - trait MonixTranslateContext,8.0,1.0,9.0,1.0,0.0,9.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package monix - trait MonixTranslateContext - <$anon: io.getquill.context.ContextEffect[<error>]>,5.0,0.0,5.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,0,package ast - class Transform,4.0,10.0,14.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,1.0
HEAD,0,package ast - object Transform,4.0,10.0,13.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,0,package norm - object OrderTerms,20.0,1.0,21.0,0.0,0.0,19.0,13.0,6.0,0.3157894736842105,0.0,7.0,0.0,6.0,8.0,17.0,7.0,60.0,19.0,1.0
HEAD,0,package norm - trait TypeBehavior,0.0,9.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package norm - object TypeBehavior,8.0,9.0,14.0,0.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package norm - object TypeBehavior - object SubstituteSubtypes,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package norm - object TypeBehavior - object ReplaceWithReduction,4.0,6.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package norm - class BetaReduction,97.0,17.0,114.0,2.0,1.0,126.0,116.0,9.0,0.072,0.0,66.0,43.0,21.0,19.0,97.0,39.0,111.0,30.0,1.0
HEAD,0,package norm - object BetaReduction,22.0,17.0,38.0,1.0,0.0,34.0,30.0,4.0,0.11764705882352941,0.0,14.0,0.0,5.0,9.0,5.0,5.0,7.0,2.0,0.25000000000000006
HEAD,0,package model - class RawSchema,4.0,8.0,12.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package model - trait BasicTableMeta,2.0,1.0,3.0,0.0,2.0,4.0,5.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package model - trait BasicColumnMeta,1.0,1.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package model - class JdbcTableMeta,5.0,12.0,17.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package model - object JdbcTableMeta,7.0,12.0,18.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0
HEAD,0,package model - class JdbcColumnMeta,6.0,13.0,19.0,2.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package model - object JdbcColumnMeta,8.0,13.0,20.0,1.0,0.0,13.0,14.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,11.0,4.0,0.0,0.0,0.0
HEAD,0,package model - object SchemaModel,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package monad - trait ScalaFutureIOMonad,32.0,4.0,36.0,1.0,7.0,34.0,34.0,0.0,0.0,4.0,23.0,13.0,6.0,19.0,24.0,10.0,23.0,6.0,1.0
HEAD,0,package monad - trait ScalaFutureIOMonad - class Run,4.0,6.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package ast - trait StatefulTransformer,159.0,8.0,167.0,0.0,1.0,276.0,276.0,0.0,0.0,6.0,79.0,190.0,48.0,10.0,140.0,21.0,284.0,98.0,1.0
HEAD,0,package getquill - class FinaglePostgresContext,38.0,3.0,39.0,5.0,9.0,94.0,87.0,4.0,0.04395604395604396,0.0,21.0,27.0,4.0,12.0,14.0,6.0,15.0,5.0,1.0
HEAD,0,package getquill - object FinaglePostgresContext,3.0,3.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - object FinaglePostgresContext - class EncodeParam,1.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package ast - trait JoinType,0.0,15.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package ast - object InnerJoin,4.0,5.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package ast - object LeftJoin,4.0,5.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package ast - object RightJoin,4.0,5.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package ast - object FullJoin,4.0,5.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package encoding - trait CollectionDecoders,9.0,1.0,10.0,0.0,3.0,12.0,12.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0
HEAD,0,package encoding - trait UdtEncoding,9.0,1.0,9.0,0.0,4.0,7.0,7.0,0.0,0.0,1.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HEAD,0,package norm - object EscapeQuestionMarks,14.0,1.0,15.0,1.0,0.0,11.0,11.0,0.0,0.0,0.0,8.0,0.0,5.0,6.0,8.0,6.0,16.0,6.0,1.0
HEAD,0,package getquill - trait EntityQuery,8.0,3.0,11.0,2.0,8.0,11.0,11.0,0.0,0.0,0.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
HEAD,0,package getquill - class FinagleMysqlContextConfig,7.0,0.0,7.0,2.0,14.0,34.0,34.0,0.0,0.0,0.0,15.0,16.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0
HEAD,0,package norm - class FlattenGroupByAggregation,27.0,1.0,28.0,2.0,1.0,34.0,34.0,0.0,0.0,0.0,9.0,21.0,14.0,12.0,28.0,8.0,90.0,33.0,1.0
HEAD,0,package jasync - trait ArrayEncoders,40.0,1.0,40.0,1.0,14.0,20.0,20.0,0.0,0.0,1.0,23.0,16.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0
HEAD,0,package jasync - trait Decoders,85.0,4.0,85.0,0.0,3.0,123.0,115.0,0.0,0.0,1.0,34.0,8.0,4.0,9.0,12.0,11.0,13.0,3.0,1.0
HEAD,0,package jasync - trait Decoders - class AsyncDecoder,6.0,4.0,10.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,0,package jasync - trait Decoders - method decoder - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => T>,16.0,0.0,16.0,1.0,1.0,12.0,12.0,0.0,0.0,0.0,10.0,4.0,4.0,9.0,9.0,9.0,13.0,3.0,1.0
HEAD,0,package jasync - trait Decoders - method mappedDecoder - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => O>,7.0,0.0,7.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,0,package jasync - trait Decoders - trait NumericDecoder,25.0,6.0,30.0,1.0,1.0,16.0,16.0,0.0,0.0,0.0,5.0,10.0,9.0,7.0,18.0,5.0,30.0,8.0,1.0
HEAD,0,package jasync - trait Decoders - method optionDecoder - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Option[T]>,12.0,0.0,12.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,1.0,1.0
HEAD,0,package jasync - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => BigDecimal>,7.0,0.0,7.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,0,package jasync - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Int>,4.0,0.0,4.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,0,package jasync - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Long>,4.0,0.0,4.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,0,package jasync - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Float>,4.0,0.0,4.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,0,package jasync - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Double>,4.0,0.0,4.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,0,package getquill - class SqliteJdbcContext,4.0,0.0,4.0,7.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dsl - trait OrientDBDsl,10.0,2.0,10.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dsl - trait OrientDBDsl - class Like,9.0,1.0,9.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0
HEAD,0,package encoding - class UdtValueOps,5.0,2.0,7.0,0.0,6.0,20.0,20.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package encoding - object UdtValueOps,2.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package getquill - trait PostgresDialect,34.0,3.0,37.0,3.0,3.0,28.0,26.0,0.0,0.0,2.0,18.0,10.0,4.0,10.0,15.0,9.0,20.0,4.0,1.0
HEAD,0,package getquill - object PostgresDialect,2.0,3.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package norm - object SymbolicReduction,22.0,1.0,23.0,0.0,0.0,49.0,16.0,33.0,0.673469387755102,0.0,11.0,0.0,6.0,11.0,27.0,10.0,56.0,19.0,1.0
HEAD,0,package quotation - class ScalarValueLifting,4.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class CaseClassValueLifting,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,5,package quotation - trait ReifyLiftings,81.0,3.0,83.0,2.0,2.0,121.0,103.0,4.0,0.037383177570093455,2.0,56.0,9.0,8.0,20.0,28.0,13.0,38.0,10.0,0.8823529411764707
HEAD,0,package quotation - trait ReifyLiftings - class Reified,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,5,package quotation - trait ReifyLiftings - class ReifyLiftings,56.0,3.0,58.0,2.0,3.0,90.0,74.0,3.0,0.03896103896103896,2.0,39.0,38.0,21.0,23.0,53.0,21.0,150.0,21.0,1.0
HEAD,0,package dag - class DagNode,2.0,14.0,16.0,0.0,0.0,1.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - trait NodeCatalog,2.0,2.0,4.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - object DefaultNodeCatalog,33.0,0.0,33.0,1.0,0.0,32.0,32.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,1.0
HEAD,0,package dag - object DefaultNodeCatalog - object StringNode,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - object DefaultNodeCatalog - object BigDecimalNode,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - object DefaultNodeCatalog - object DoubleNode,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - object DefaultNodeCatalog - object FloatNode,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - object DefaultNodeCatalog - object LongNode,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - object DefaultNodeCatalog - object IntNode,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - object DefaultNodeCatalog - object ShortNode,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - object DefaultNodeCatalog - object ByteNode,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - object DefaultNodeCatalog - object BooleanNode,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - object DefaultNodeCatalog - object TimestampNode,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - object DefaultNodeCatalog - object DateNode,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - package dag - package object dag,2.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dag - class CatalogBasedAncestry,22.0,0.0,22.0,1.0,1.0,24.0,22.0,1.0,0.043478260869565216,0.0,15.0,6.0,6.0,8.0,19.0,11.0,17.0,4.0,1.0
HEAD,0,package getquill - class OrientDBContextConfig,3.0,0.0,3.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
