commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,1,package encoding - trait Encoders,33.0,1.0,33.0,1.0,2.0,32.0,32.0,0.0,0.0,1.0,11.0,6.0,1.5,1.0,2.5,2.25,1.5,0.25,1.0
HEAD,0,package encoding - trait Encoders - class OrientDBEncoder,6.0,1.0,7.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,1,package encoding - trait Decoders,24.0,1.0,24.0,1.0,3.0,47.0,45.0,0.0,0.0,1.0,11.0,8.0,2.0,1.25,5.5,4.0,0.5,0.0,1.0
HEAD,0,package encoding - trait Decoders - class OrientDBDecoder,5.0,1.0,6.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,1,package encoding - trait CassandraTypes,13.0,2.0,15.0,1.0,0.0,13.0,13.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait CassandraMappedTypes,21.0,1.0,22.0,0.0,0.0,20.0,20.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package cassandra - trait CassandraContext,8.0,5.0,10.0,4.0,8.0,44.0,42.0,0.0,0.0,2.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Decoders,24.0,1.0,24.0,1.0,3.0,43.0,43.0,0.0,0.0,1.0,11.0,7.0,1.75,1.25,3.75,3.25,0.5,0.0,1.0
HEAD,0,package encoding - trait Decoders - class CassandraDecoder,5.0,1.0,6.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,1,package encoding - trait Encoders,24.0,1.0,24.0,1.0,2.0,35.0,35.0,0.0,0.0,1.0,10.0,6.0,1.5,1.0,2.5,2.25,1.5,0.25,1.0
HEAD,0,package encoding - trait Encoders - class CassandraEncoder,5.0,1.0,6.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,1,package getquill - class CassandraAsyncContext,25.0,0.0,25.0,6.0,2.0,42.0,38.0,0.0,0.0,0.0,18.0,9.0,1.8,3.4,6.4,4.6,3.6,1.2,0.7775555555555556
HEAD,1,package dsl - class MetaDslMacro,57.0,0.0,57.0,0.0,8.0,215.0,166.0,0.0,0.0,0.0,79.0,45.0,2.8125,3.6875,7.25,4.375,8.0625,2.375,0.6815
HEAD,1,package dsl - class MetaDslMacro - trait Value,1.0,3.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - class MetaDslMacro - class Nested,7.0,1.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - class MetaDslMacro - class Scalar,7.0,1.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
