commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package http4s - package client - package asynchttpclient - object AsyncHttpClient - class NoOpCookieStore,6.0,1.0,7.0,0.0,4.0,8.0,8.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2
HEAD,1,package http4s - package client - package asynchttpclient - object AsyncHttpClient,38.0,0.0,38.0,0.0,0.0,120.0,100.0,19.0,0.15966386554621848,0.0,28.0,0.0,1.75,2.375,10.875,3.125,2.875,0.75,0.875,0.7801606288448393
HEAD,1,package http4s - package client - package asynchttpclient - object AsyncHttpClient - method asyncHandler - <$anon: <error>>,14.0,0.0,14.0,1.0,4.0,39.0,37.0,2.0,0.05128205128205128,0.0,9.0,9.0,1.5,2.5,8.166666666666666,2.3333333333333335,2.8333333333333335,0.8333333333333334,0.8333333333333334,-0.5350877192982456
HEAD,0,package http4s - package client - package asynchttpclient - object AsyncHttpClient - class NoOpCookieStore,6.0,1.0,7.0,0.0,4.0,8.0,8.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2
HEAD,1,package http4s - package server - package staticcontent - object FileService,42.0,2.0,43.0,0.0,0.0,138.0,125.0,12.0,0.08759124087591241,0.0,19.0,0.0,5.75,11.75,25.75,5.0,16.0,2.75,1.0,1.0
HEAD,0,package http4s - package server - package staticcontent - object FileService - class Config,7.0,7.0,14.0,2.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package server - package staticcontent - object FileService - object Config,17.0,7.0,23.0,1.0,0.0,11.0,12.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package staticcontent - object FileService - method apply - object BadTraversal,4.0,5.0,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package server - package staticcontent - object WebjarService,25.0,1.0,26.0,0.0,0.0,97.0,53.0,44.0,0.4536082474226804,0.0,12.0,0.0,3.6666666666666665,6.333333333333333,11.333333333333334,4.333333333333333,9.0,1.6666666666666667,0.6666666666666666,0.6666666666666666
HEAD,0,package http4s - package server - package staticcontent - object WebjarService - class Config,5.0,7.0,12.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package server - package staticcontent - object WebjarService - class WebjarAsset,3.0,1.0,4.0,2.0,0.0,9.0,4.0,5.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package server - package staticcontent - object WebjarService - method apply - object BadTraversal,4.0,5.0,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package server - package staticcontent - object WebjarService,25.0,1.0,26.0,0.0,0.0,97.0,53.0,44.0,0.4536082474226804,0.0,12.0,0.0,3.6666666666666665,6.333333333333333,11.333333333333334,4.333333333333333,9.0,1.6666666666666667,0.6666666666666666,0.6666666666666666
HEAD,0,package http4s - package server - package staticcontent - object WebjarService - class Config,5.0,7.0,12.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package server - package staticcontent - object WebjarService - class WebjarAsset,3.0,1.0,4.0,2.0,0.0,9.0,4.0,5.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package server - package staticcontent - object WebjarService - method apply - object BadTraversal,4.0,5.0,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package client - package asynchttpclient - object AsyncHttpClient,35.0,0.0,35.0,0.0,0.0,120.0,94.0,25.0,0.21008403361344538,0.0,28.0,0.0,1.375,0.5,7.75,2.75,0.75,0.125,0.875,0.7685222672064778
HEAD,1,package http4s - package client - package asynchttpclient - object AsyncHttpClient - method asyncHandler - <$anon: <error>>,10.0,0.0,10.0,1.0,4.0,39.0,31.0,8.0,0.20512820512820512,0.0,9.0,6.0,1.0,0.0,4.0,1.6666666666666667,0.0,0.0,0.8333333333333334,-0.6025641025641025
HEAD,0,package http4s - package client - package asynchttpclient - object AsyncHttpClient - class NoOpCookieStore,6.0,1.0,7.0,0.0,4.0,8.0,8.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2
HEAD,1,package http4s - package blazecore - package websocket - class Http4sWSStage,9.0,1.0,10.0,0.0,8.0,117.0,84.0,34.0,0.288135593220339,0.0,9.0,28.0,3.5,4.0,9.875,1.625,6.5,1.25,0.75,0.3472222222222222
HEAD,0,package http4s - package blazecore - package websocket - object Http4sWSStage,3.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package client - package jetty - object JettyClient,11.0,0.0,11.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,6.0,0.0,2.5,2.75,11.25,2.0,2.25,0.0,1.0,0.9
HEAD,1,package http4s - package client - package jetty - object JettyClient,11.0,0.0,11.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,6.0,0.0,2.5,2.75,11.25,2.0,2.25,0.0,1.0,0.9
HEAD,1,package http4s - package client - package blaze - object BlazeClient,18.0,1.0,19.0,0.0,0.0,135.0,123.0,8.0,0.061068702290076333,0.0,10.0,0.0,10.0,9.5,46.5,3.5,45.0,6.5,1.0,1.0
HEAD,0,package http4s - package client - package blaze - object BlazeClient - method makeClient - <none>,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package blazecore - class ResponseHeaderTimeoutStage,18.0,1.0,18.0,0.0,6.0,59.0,58.0,0.0,0.0,0.0,13.0,11.0,1.2222222222222223,0.0,2.7777777777777777,1.5555555555555556,0.0,0.0,0.7777777777777778,-0.6469962785752259
HEAD,0,package http4s - package blazecore - class ResponseHeaderTimeoutStage - <$anon: Runnable>,9.0,0.0,9.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,-0.7647058823529411
HEAD,1,package http4s - package client - package blaze - class Http1Support,35.0,2.0,37.0,0.0,3.0,68.0,66.0,2.0,0.029411764705882353,0.0,15.0,12.0,3.0,6.5,9.0,4.75,7.25,1.75,1.0,0.7954545454545454
HEAD,1,package http4s - package client - package blaze - object Http1Client,8.0,0.0,8.0,0.0,0.0,39.0,35.0,4.0,0.10256410256410256,0.0,3.0,0.0,1.5,0.0,4.5,2.5,0.0,0.0,1.0,1.0
HEAD,1,package http4s - package client - trait ConnectionManager,7.0,6.0,13.0,0.0,4.0,19.0,8.0,12.0,0.6,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - trait ConnectionManager - class NextConnection,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - object ConnectionManager,10.0,6.0,13.0,0.0,0.0,36.0,24.0,12.0,0.3333333333333333,2.0,2.0,0.0,1.0,0.0,2.5,1.5,0.0,0.0,1.0,1.0
HEAD,1,package http4s - package client - package blaze - class BlazeClientBuilder,18.0,3.0,20.0,1.0,3.0,165.0,139.0,6.0,0.041379310344827586,0.0,30.0,28.0,1.0,0.0,1.25,1.1785714285714286,0.0,0.0,0.10714285714285714,0.10714285714285714
HEAD,1,package http4s - package client - package blaze - class BlazeClientBuilder - method copy - <$anon: org.http4s.client.blaze.BlazeClientBuilder[F]>,1.0,0.0,1.0,2.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package client - package blaze - object BlazeClientBuilder,6.0,3.0,7.0,0.0,0.0,25.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,1,package http4s - package client - package blaze - object BlazeClientBuilder - method apply - <$anon: org.http4s.client.blaze.BlazeClientBuilder[F]>,1.0,0.0,1.0,2.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package build - object Http4sPlugin,24.0,1.0,25.0,0.0,0.0,301.0,257.0,34.0,0.11683848797250859,0.0,33.0,0.0,1.6818181818181819,1.3636363636363635,3.909090909090909,1.6818181818181819,3.227272727272727,0.7727272727272727,0.22727272727272727,0.22727272727272727
HEAD,0,package build - object Http4sPlugin - object autoImport,3.0,1.0,4.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
