commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package http4s - package internal - package object internal - method bug,1.0,0.0,3.0,3.0,1.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package internal - package object internal - method hashLower,2.0,0.0,15.0,10.0,5.0,0.3333333333333333,9.0,9.0,0.0,0.0,1.0,-1.0
HEAD,0,package http4s - package internal - package object internal - method decode,12.0,10.0,58.0,51.0,0.0,0.0,49.0,12.0,17.0,2.0,1.0,1.0
HEAD,0,package http4s - package internal - package object internal - method decode - method skipByteOrderMark,2.0,0.0,4.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package internal - package object internal - method decode - method out,2.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package internal - package object internal - method skipUtf8ByteOrderMark,2.0,0.0,4.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - package middleware - object GZip - method apply,1.0,0.0,8.0,8.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - package middleware - object GZip - method addHeaders,3.0,7.0,8.0,8.0,0.0,0.0,6.0,6.0,4.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - package middleware - object GZip - method decompress,4.0,10.0,14.0,14.0,0.0,0.0,17.0,3.0,9.0,2.0,1.0,1.0
HEAD,0,package http4s - package client - package middleware - object GZip - method decompressWith,5.0,3.0,14.0,14.0,0.0,0.0,8.0,2.0,12.0,2.0,1.0,1.0
HEAD,1,package http4s - package server - package staticcontent - object FileService - object Config - method apply,1.0,0.0,9.0,9.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0
HEAD,1,package http4s - package server - package staticcontent - object FileService - method apply,10.0,19.0,38.0,37.0,0.0,0.0,43.0,7.0,34.0,5.0,1.0,1.0
HEAD,0,package http4s - package server - package staticcontent - object FileService - method apply - method resolvedPath,4.0,3.0,13.0,12.0,0.0,0.0,10.0,2.0,15.0,2.0,1.0,1.0
HEAD,3,package http4s - package server - package staticcontent - object FileService - method filesOnly,3.0,0.0,18.0,17.0,0.0,0.0,13.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package staticcontent - object FileService - method validRange,3.0,8.0,5.0,5.0,0.0,0.0,11.0,8.0,6.0,1.0,1.0,1.0
HEAD,3,package http4s - package server - package staticcontent - object FileService - method getPartialContentFile,5.0,12.0,36.0,35.0,1.0,0.027777777777777776,36.0,5.0,19.0,2.0,1.0,1.0
HEAD,2,package http4s - package client - package middleware - object ResponseLogger - method apply,1.0,0.0,7.0,7.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - package middleware - object ResponseLogger - method logBodyText,1.0,0.0,7.0,7.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - package middleware - object ResponseLogger - method impl,8.0,10.0,49.0,47.0,1.0,0.020833333333333332,50.0,8.0,22.0,4.0,1.0,1.0
HEAD,0,package http4s - package client - package middleware - object ResponseLogger - method impl - method logMessage,3.0,10.0,8.0,8.0,0.0,0.0,12.0,4.0,8.0,2.0,1.0,1.0
HEAD,0,package middleware - trait CookieJar - method evictExpired,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - trait CookieJar - method evictAll,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - trait CookieJar - method addCookie,1.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - trait CookieJar - method addCookies,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package middleware - trait CookieJar - method enrichRequest,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
