commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package repl - class ScioReplClassLoader - method loadClass,4.0,8.0,23.0,19.0,3.0,0.13636363636363635,10.0,8.0,4.0,1.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method genNextReplCodeJarDir,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package repl - class ScioReplClassLoader - method getNextReplCodeJarPath,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method createReplCodeJar,1.0,0.0,11.0,10.0,1.0,0.09090909090909091,7.0,7.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method createJar,1.0,0.0,9.0,8.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method addVirtualDirectoryToJar,3.0,0.0,21.0,19.0,2.0,0.09523809523809523,13.0,8.0,0.0,0.0,1.0,-0.3978494623655913
HEAD,1,package repl - object BaseScioShell - method classLoaderURLs,4.0,9.0,5.0,5.0,0.0,0.0,9.0,6.0,6.0,1.0,1.0,1.0
HEAD,1,package repl - trait BaseScioShell - method process,1.0,0.0,43.0,30.0,13.0,0.3023255813953488,45.0,32.0,0.0,0.0,1.0,-0.18032786885245905
HEAD,0,package repl - trait BaseScioShell - method main,2.0,0.0,8.0,8.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,-1.0
HEAD,1,package values - class PairSkewedSCollectionFunctions - method skewedJoin,2.0,0.0,26.0,23.0,2.0,0.08,14.0,11.0,0.0,0.0,1.0,0.4838709677419355
HEAD,1,package values - class PairSkewedSCollectionFunctions - method skewedJoin,2.0,5.0,17.0,15.0,2.0,0.11764705882352941,14.0,9.0,6.0,2.0,1.0,1.0
HEAD,0,package values - class PairSkewedSCollectionFunctions - method skewedLeftJoin,1.0,0.0,14.0,13.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package values - class PairSkewedSCollectionFunctions - method skewedLeftJoin,1.0,0.0,6.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,1,package values - class PairSkewedSCollectionFunctions - method skewedLeftOuterJoin,2.0,0.0,30.0,26.0,2.0,0.07142857142857142,14.0,11.0,0.0,0.0,1.0,0.5294117647058824
HEAD,1,package values - class PairSkewedSCollectionFunctions - method skewedLeftOuterJoin,2.0,5.0,17.0,15.0,2.0,0.11764705882352941,14.0,9.0,6.0,2.0,1.0,1.0
HEAD,1,package values - class PairSkewedSCollectionFunctions - method skewedFullOuterJoin,2.0,0.0,30.0,26.0,2.0,0.07142857142857142,14.0,11.0,0.0,0.0,1.0,0.5294117647058824
HEAD,1,package values - class PairSkewedSCollectionFunctions - method skewedFullOuterJoin,2.0,5.0,17.0,15.0,2.0,0.11764705882352941,14.0,9.0,6.0,2.0,1.0,1.0
HEAD,1,package values - class PairSkewedSCollectionFunctions - method partitionInputs,5.0,5.0,48.0,42.0,2.0,0.045454545454545456,42.0,12.0,12.0,4.0,1.0,1.0
HEAD,0,package scio - trait RunnerContext - method prepareOptions,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
HEAD,0,package scio - object NoOpContext - method prepareOptions,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
HEAD,0,package scio - object DirectContext - method prepareOptions,2.0,0.0,8.0,6.0,2.0,0.25,4.0,3.0,0.0,0.0,1.0,-1.0
HEAD,0,package scio - object RunnerContext - method get,2.0,8.0,14.0,13.0,0.0,0.0,7.0,7.0,4.0,1.0,0.0,0.0
HEAD,0,package scio - object RunnerContext - method prepareOptions,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
HEAD,2,package scio - object RunnerContext - method filesToStage,1.0,0.0,13.0,13.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,0.2
HEAD,0,package scio - object RunnerContext - method detectClassPathResourcesToStage,1.0,0.0,14.0,13.0,1.0,0.07142857142857142,13.0,7.0,0.0,0.0,1.0,0.42857142857142855
HEAD,0,package scio - object ContextAndArgs - trait ArgsParser - method parse,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - class DefaultParser - method parse,1.0,0.0,3.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - object TypedParser - method apply,3.0,4.0,9.0,9.0,0.0,0.0,4.0,2.0,6.0,2.0,1.0,1.0
HEAD,0,package scio - object ContextAndArgs - class TypedParser - method parse,11.0,10.0,44.0,41.0,3.0,0.06818181818181818,55.0,20.0,70.0,16.0,1.0,0.9310344827586207
HEAD,0,package scio - object ContextAndArgs - method withParser,4.0,7.0,12.0,12.0,0.0,0.0,12.0,7.0,20.0,4.0,1.0,0.7894736842105262
HEAD,0,package scio - object ContextAndArgs - method apply,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - method typed,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - object ContextAndArgs - object UsageOrHelpException - method attachUncaughtExceptionHandler,3.0,5.0,15.0,15.0,0.0,0.0,6.0,6.0,4.0,0.0,1.0,-0.5185185185185185
HEAD,0,package scio - object ContextAndArgs - object UsageOrHelpException - method attachUncaughtExceptionHandler - <$anon: Thread.UncaughtExceptionHandler> - method uncaughtException,3.0,5.0,7.0,7.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,-0.42857142857142855
HEAD,0,package scio - trait ScioExecutionContext - method pipelineResult,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - trait ScioExecutionContext - method isCompleted,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - trait ScioExecutionContext - method state,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - trait ScioExecutionContext - method awaitDuration,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - trait ScioExecutionContext - method cancelJob,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - trait ScioExecutionContext - method waitUntilFinish,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - trait ScioExecutionContext - method waitUntilDone,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ScioContext - method apply,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
