commit,faults,path,IsRecursive,IsNested,HasNestedMethods,HasFunctions,IsFunction,HasFunctionParameters,HasHigherOrderCalls,HasFunctionCalls,HasCurrying,HasPatternMatching,HasLazyValues,HasMultipleParameterLists,FunctionalScoreBool,HasVariables,HasVariableDefinitions,HasInnerVariableAssignment,HasOuterVariableUsage,HasOuterVariableAssignment,HasSideEffects,IsSideEffect,HasSideEffectCalls,HasSideEffectFunctions,ImperativeScoreBool,HasPointsBool,ParadigmScoreBool,CountRecursiveCalls,CountNestedDepth,CountNestedMethods,CountFunctions,CountFunctionParameters,CountHigherOrderCalls,CountFunctionCalls,CountCurrying,CountPatternMatching,CountLazyValues,CountParameterLists,FunctionalScoreCount,CountVariables,CountVariableDefinitions,CountInnerVariableAssignment,CountOuterVariableUsage,CountOuterVariableAssignment,CountSideEffects,CountSideEffectCalls,CountSideEffectFunctions,ImperativeScoreCount,HasPointsCount,ParadigmScoreCount,FractionRecursiveCalls,FractionNestedMethods,FractionFunctions,FractionHigherOrderCalls,FractionFunctionCalls,FractionCurrying,FractionPatternMatching,FractionLazyValues,FunctionalScoreFraction,FractionVariables,FractionVariableDefinitions,FractionInnerVariableAssignment,FractionOuterVariableUsage,FractionOuterVariableAssignment,FractionSideEffects,FractionSideEffectCalls,FractionSideEffectFunctions,ImperativeScoreFraction,HasPointsFraction,ParadigmScoreFraction,FunctionalCallsLandkroon,ImperativeCallsLandkroon,FunctionalPointsLandkroon,ImperativePointsLandkroon,HasPointsLandkroon,ParadigmScoreLandkroon
HEAD,0,package zio - object ZManaged - trait Scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - <$anon: zio.ZManaged.Scope>,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class RefineToOrDieOps,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - trait Chunk,6.0,0.0,1.0,47.0,0.0,43.0,21.0,32.0,0.0,11.0,0.0,19.0,180.0,23.0,23.0,23.0,0.0,0.0,29.0,1.0,29.0,0.0,128.0,59.0,21.94170274170274,9.0,0.0,1.0,114.0,47.0,28.0,37.0,0.0,11.0,0.0,22.0,269.0,351.0,69.0,83.0,0.0,0.0,395.0,141.0,0.0,1040.0,59.0,9.643211208258963,2.625,0.5238095238095238,25.660201762354543,8.593842634540309,6.282414207259407,0.0,6.168579202881529,0.0,111.85384733084535,10.328730909417963,2.850902254850523,4.228213795431557,0.0,0.0,17.537949136432644,8.711357276896551,0.0,44.657153373029246,59.0,24.514958776001475,20.0,46.0,73.0,397.0,54.0,31.53406629919788
HEAD,0,package zio - object Chunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,4.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,8.0,3.0,0.0,17.0,4.0,2.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,2.6628205128205127,0.0,3.6628205128205127,0.25,0.08333333333333333,0.08333333333333333,0.0,0.0,0.4166666666666667,0.25,0.0,1.0833333333333333,4.0,2.96,3.0,1.0,3.0,5.0,4.0,3.0
HEAD,0,package zio - object Chunk - class AppendN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0,2.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,13.0,2.0,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.2222222222222223,0.4722222222222222,0.0,2.6944444444444446,2.0,-1.8,1.0,0.0,1.0,0.0,1.0,1.0
HEAD,0,package zio - object Chunk - class PrependN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0,2.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,17.0,2.0,-1.8571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.2222222222222223,0.6222222222222222,0.0,2.844444444444444,2.0,-1.846153846153846,1.0,0.0,1.0,0.0,1.0,1.0
HEAD,0,package zio - object Chunk - class Arr,0.0,0.0,0.0,11.0,0.0,11.0,5.0,6.0,0.0,1.0,0.0,2.0,36.0,10.0,10.0,10.0,0.0,0.0,12.0,2.0,12.0,0.0,56.0,12.0,-3.0833333333333335,0.0,0.0,0.0,34.0,11.0,9.0,6.0,0.0,1.0,0.0,2.0,63.0,74.0,16.0,16.0,0.0,0.0,86.0,34.0,0.0,228.0,12.0,-6.920954449065393,0.0,0.0,3.2468458793266977,1.1054073803434417,0.5754689754689755,0.0,0.17391304347826086,0.0,18.101635278617376,4.213653893705044,1.2287456220960056,1.3591804047047014,0.0,0.0,6.463949690548155,3.365082686566063,0.0,18.63061229761997,12.0,-0.43779750252618477,3.0,11.0,14.0,85.0,11.0,1.8145562770562769
HEAD,0,package zio - object Chunk - class Concat,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,6.0,2.0,-1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,14.0,2.0,-1.0769230769230769,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,2.0,-1.0526315789473684,0.0,2.0,1.0,2.0,1.0,0.3333333333333333
HEAD,0,package zio - object Chunk - class Singleton,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,2.0,-0.6666666666666667,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,11.0,2.0,-1.1666666666666667,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,2.333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,4.5,2.0,-0.9230769230769231,1.0,0.0,2.0,0.0,1.0,1.0
